Id,SalePrice
1461,116997.89001934198
1462,160553.94083024192
1463,172012.13929672644
1464,177132.9832132653
1465,194999.6705644803
1466,171174.36947972176
1467,165447.49296856092
1468,163007.5160246115
1469,190264.83591124474
1470,130709.75550015486
1471,205487.53705152337
1472,97722.45824449585
1473,97973.12917249487
1474,152987.0610590901
1475,133318.53413299762
1476,423275.6837024605
1477,279125.996913803
1478,305269.0169614077
1479,282966.30379931204
1480,501991.7764991556
1481,319060.33324963524
1482,211701.11290989583
1483,169187.36349001818
1484,165363.0046558012
1485,180806.62493600463
1486,193757.3707090649
1487,332735.72112278035
1488,237587.41069336308
1489,200117.75570310207
1490,214549.4378805755
1491,192126.69375552624
1492,92212.67021026222
1493,185133.0611110904
1494,301803.543020616
1495,288151.82605731464
1496,236228.0044682676
1497,178906.1015705591
1498,166636.35621030172
1499,167127.69728500972
1500,149977.74981524152
1501,163474.3613482664
1502,164219.35865866597
1503,284954.7496512339
1504,232080.02706564232
1505,218139.38118252414
1506,186768.70589071006
1507,242969.06623139494
1508,187456.5227157396
1509,157608.32128187228
1510,151142.24255505906
1511,142790.58264672087
1512,178057.36636836114
1513,159117.4213348492
1514,162947.67861067952
1515,192676.0849668202
1516,164659.1626708728
1517,160519.09574750156
1518,146517.34044856922
1519,229514.9126773776
1520,134516.59019589858
1521,134498.72686140373
1522,170141.89009058988
1523,113096.16537999026
1524,123461.03600140534
1525,126150.03336130142
1526,120975.79626577973
1527,101464.06413978127
1528,126754.67383439881
1529,144833.7639670927
1530,169246.88774119763
1531,96838.4149484542
1532,99816.77786262038
1533,136540.5954327371
1534,109072.64413116979
1535,146908.46487368827
1536,106492.97742395166
1537,85004.2477681174
1538,184374.64685508984
1539,203671.58073069886
1540,133773.2505898911
1541,132327.25077018994
1542,133502.95794544538
1543,214734.01150772552
1544,76862.57237260856
1545,104210.1847465798
1546,127560.29175589641
1547,116376.48733528647
1548,125154.7991709834
1549,107151.27567704672
1550,144637.47804074365
1551,119832.46977976801
1552,133572.9074077056
1553,129732.40601956216
1554,105719.60529667373
1555,168408.35558084055
1556,83516.07898870813
1557,110543.61134755252
1558,103734.07827257941
1559,94455.51591976198
1560,130933.15914918669
1561,147334.4775040857
1562,129955.00780706802
1563,124589.11590512037
1564,154609.52174769467
1565,150051.779817042
1566,223206.8150516842
1567,93547.86612853552
1568,215884.09942016884
1569,150854.34348910055
1570,136183.02089706654
1571,124437.1800617675
1572,144920.83326440374
1573,256892.4920426338
1574,136657.75207250033
1575,217350.34891201067
1576,212436.5485663339
1577,190927.88449626951
1578,147319.93706751295
1579,137636.6652965646
1580,192236.5492859139
1581,139971.69880178012
1582,128546.91851109061
1583,342819.94183029945
1584,225483.0332767441
1585,141617.21260190062
1586,82825.62700543017
1587,92865.39405394101
1588,143645.3923334087
1589,99975.04691303149
1590,138429.90978759291
1591,100759.79768147304
1592,124842.12161501375
1593,131169.65706812986
1594,131364.62782042296
1595,121765.81225262748
1596,231572.3568514518
1597,213655.93861380787
1598,224178.2715768184
1599,197171.6236637158
1600,192959.6014789354
1601,79717.5704817154
1602,108089.01478083359
1603,80656.31609062655
1604,276285.4818585935
1605,252038.57490993102
1606,160073.75498197565
1607,192803.9075854801
1608,212192.14275914937
1609,193992.84400354058
1610,147633.76790481116
1611,148326.14973269906
1612,172879.85043900338
1613,156733.78507310632
1614,123523.52393102425
1615,89944.81109639326
1616,82683.68302237151
1617,92380.67023056376
1618,123476.86919820895
1619,137807.8368425583
1620,175937.76665882493
1621,132340.61740483675
1622,146598.95944331877
1623,299852.76941544906
1624,206607.6239619319
1625,127464.40207153921
1626,173871.12475194506
1627,180361.2759880397
1628,286367.57196135184
1629,182023.5216284863
1630,393499.8261699975
1631,233602.61574815103
1632,244308.7436800912
1633,174082.87986992495
1634,173616.23852289023
1635,182543.7388683465
1636,159858.08615789932
1637,172625.3716657034
1638,206352.16840013876
1639,177855.59877749212
1640,248910.03072523503
1641,177915.32148712347
1642,223810.972565195
1643,217500.70180049888
1644,230825.34987778356
1645,177985.27785483625
1646,158700.93729698448
1647,173322.6355462254
1648,138120.57816282398
1649,130975.16286239924
1650,115416.20508470513
1651,122708.69367538436
1652,96699.01643424635
1653,93532.499068401
1654,145461.3285464811
1655,163683.15956312531
1656,150198.42689502347
1657,145461.3285464811
1658,146022.18899149893
1659,136960.75339141948
1660,153506.43296915
1661,420967.9601687427
1662,452882.0754584244
1663,396456.9480364462
1664,446270.9424758197
1665,311311.543307951
1666,318140.1044018073
1667,359024.49094917905
1668,329338.2460938953
1669,305917.21872092015
1670,348146.9538853032
1671,253893.4930012397
1672,464196.8305369333
1673,293614.8550435195
1674,240966.97066172148
1675,179367.93591398056
1676,180558.8382207256
1677,212903.61503376055
1678,461734.8880543133
1679,388068.8000901064
1680,345416.83349273115
1681,276795.7643699222
1682,295472.52121022396
1683,177298.5815998536
1684,174762.43553656817
1685,169324.7705372517
1686,172596.99456746524
1687,172113.38242930552
